"environment","location","year","SampleName","DTF_mean","DTF_blue","DTH_mean","DTH_blue","PtHt_mean","PtHt_blue","PcleLng_mean","PcleLng_blue","SdLen_mean","SdLen_blue","TGW_mean","TGW_blue","SdW_mean","SdW_z_mean","SdW_z_blue"
"PAK_2019","PAK","2019","S3H3_batch1",90,86.37,139,131.44,76,72.4,23.19,24.2,1.9,1.9,3,2.46,16.67,-0.03,-0.99
"PAK_2019","PAK","2019","S1F6_batch1",NA,NA,138,152.37,NA,NA,30.18,36.22,1.92,1.9,1.98,2.28,8.74,-0.8,-0.1
"PAK_2019","PAK","2019","S1C6_batch1",90,88.87,128,131.19,NA,NA,40.8,34.1,1.7,1.88,2.8,2.62,10.67,-0.61,-0.06
"PAK_2019","PAK","2019","KATRC10",91,90.62,128,135.44,NA,NA,18.2,32.45,1.76,2.04,2.56,2.62,15,-0.19,0.38
"PAK_2019","PAK","2019","S1D11_batch1",93,92.37,131,127.69,69,81.65,30.67,31.32,2.06,2.08,2.75,2.75,8.87,-0.79,-0.05
"PAK_2019","PAK","2019","S1G9_batch1",89,89.65,128,129.26,NA,NA,37.5,30.91,2.06,2.17,3.15,2.52,18.33,0.13,0.1
"PAK_2019","PAK","2019","S736_batch3",95,97.62,159,150.69,97,113.65,33.64,34.81,1.87,1.93,2.5,2.55,10,-0.68,-0.9
"PAK_2019","PAK","2019","S1C8_batch1",93,85.62,138,135.44,69,72.15,23.54,25.79,2.4,2.23,3.6,3.02,28.33,1.1,0.53
"PAK_2019","PAK","2019","S2A4_batch1",92,92.37,137,135.44,95,98.9,28.54,33.54,1.9,2.08,2.23,2.79,8.33,-0.84,0.06
"PAK_2019","PAK","2019","S2D9_batch1",90,90.62,135,137.69,107,91.65,28.85,26.62,2,1.91,2.4,2.71,11.67,-0.52,-0.17
"PAK_2019","PAK","2019","S1B3_batch1",91,96.87,143,147.69,121,95.9,24.54,31.29,1.96,1.97,2.31,2.35,11.67,-0.52,-0.03
"PAK_2019","PAK","2019","S4F11_batch1",90,95.12,145,145.44,90,104.15,30.25,38.97,2.03,1.98,2.55,2.45,11.67,-0.52,-0.38
"PAK_2019","PAK","2019","S1F7_batch1",93,95.87,138,140.69,105,105.4,31.24,32.71,2,2.01,2.4,2.54,8.33,-0.84,0.68
"PAK_2019","PAK","2019","S2E6_batch1",91,83.87,138,137.69,84,83.65,31.57,28.8,1.9,1.89,3.15,3.12,13.33,-0.36,0.52
"PAK_2019","PAK","2019","S4F8_batch1",91,92.37,160,137.69,117,105.4,40.72,32.58,2.03,2.07,2.75,2.85,16.67,-0.03,0.38
"PAK_2019","PAK","2019","S1B8_batch1",93,91.62,128,136.19,NA,NA,28.7,30.83,1.96,2.04,3.4,3.34,13.33,-0.36,0.28
"PAK_2019","PAK","2019","S1A6_batch1",91,87.62,133,130.44,81,90.15,29.53,37.54,2.16,2.05,3.43,2.85,20,0.29,1.03
"PAK_2019","PAK","2019","S1E6_batch1",91,82.12,141,135.19,109,92.4,32.41,32.76,1.97,1.87,3.25,2.7,11.67,-0.52,-0.51
"PAK_2019","PAK","2019","S2H5_batch1",91,100.37,159,145.69,87,109.4,30.74,34.84,2.03,1.95,3.01,3.14,18.33,0.13,0.15
"PAK_2019","PAK","2019","S1H7_batch1",90,91.62,131,131.44,96,96.65,36.1,40.93,2.03,1.95,2.8,3.12,15,-0.19,1.26
"PAK_2019","PAK","2019","S2C6_batch1",91,89.62,133,139.69,81,98.4,32.43,31.51,2.1,1.96,3.4,2.68,13.33,-0.36,0.3
"PAK_2019","PAK","2019","S1G6_batch1",92,94.62,141,153.94,110,111.65,31.73,33.84,2.03,1.97,2.65,2.69,26.67,0.94,-0.11
"PAK_2019","PAK","2019","S2G4_batch1",91,85.89,138,156.37,84,103.86,26.43,29.3,2,2.02,2.75,2.79,11.67,-0.52,0.09
"PAK_2019","PAK","2019","S2E4_batch1",91,94.12,155,140.44,117,103.15,44.84,32.86,2.03,2,3.1,2.73,31.67,1.42,0.95
"PAK_2019","PAK","2019","S3D5_batch1",91,92.37,160,147.69,110,113.15,47.81,39.11,1.93,2.07,2.2,2.57,23.33,0.61,0
"PAK_2019","PAK","2019","S744_batch3",91,92.57,152,160.08,102,96.94,43.64,35.36,2.23,2.05,3,2.68,18.33,0.13,-0.27
"PAK_2019","PAK","2019","S757_batch3",91,94.12,137,145.19,133,138.65,40.72,38.83,1.9,1.86,2.88,2.83,28.33,1.1,-0.19
"PAK_2019","PAK","2019","S1G10_batch1",91,89.65,146,142.93,106,110.97,30.5,36.24,1.86,1.85,2.3,2.52,13.33,-0.36,-0.12
"PAK_2019","PAK","2019","S2G6_batch1",91,84.37,148,138.44,109,99.65,23.49,37.78,1.63,1.91,1.65,2.75,3.33,-1.32,-0.73
"PAK_2019","PAK","2019","S2G2_batch1",93,84.12,NA,NA,NA,NA,5.12,16.18,1.86,1.97,3.12,2.98,3.89,-1.27,-0.6
"PAK_2019","PAK","2019","S4H9_batch1",90,94.37,131,131.69,111,88.65,39.33,28.99,2.06,1.79,2.75,2.42,11.67,-0.52,0.08
"PAK_2019","PAK","2019","S1D10_batch1",101,88.12,129,143.69,98,106.9,27.62,31.81,1.86,1.9,2.85,2.63,6.67,-1,-0.81
"PAK_2019","PAK","2019","S1A9_batch1",89,84.87,131,128.44,112,84.15,38.6,30.05,1.76,1.93,2.7,2.76,11.67,-0.52,-0.3
"PAK_2019","PAK","2019","S4B8_batch1",93,100.87,130,134.69,138,163.9,42.17,35.95,2.4,2.01,2.2,2.41,18.33,0.13,-0.27
"PAK_2019","PAK","2019","S203_batch3",91,87.12,160,143.69,90,82.65,26.13,28.69,1.9,1.83,2.4,2.52,15,-0.19,0.07
"PAK_2019","PAK","2019","S2F5_batch1",93,91.62,138,132.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PAK_2019","PAK","2019","S1H6_batch1",90,101.12,152,147.87,157,131.4,57.6,41.3,2.06,1.98,2.7,2.52,20,0.29,0
"PAK_2019","PAK","2019","S2E11_batch1",94,98.12,136,150.69,130,111.65,29.42,28.51,1.93,1.95,2.2,2.93,13.33,-0.36,-0.62
"PAK_2019","PAK","2019","S2D1_batch1",91,90.65,146,148.6,98,109.3,18.1,29.78,1.83,1.83,2.4,2.46,5,-1.16,-0.08
"PAK_2019","PAK","2019","S2G10_batch1",90,90.37,138,139.44,78,78.65,24.64,27.56,1.67,1.74,2.7,2.38,8.33,-0.84,-0.85
"PAK_2019","PAK","2019","S1G1_batch1",91,97.12,137,135.69,100,98.4,33.75,32.84,2.16,2.12,3.4,2.94,16.67,-0.03,0.43
"PAK_2019","PAK","2019","S1A8_batch1",93,92.37,128,129.44,96,70.4,23.5,24.78,2,1.97,3.15,2.95,8.33,-0.84,-0.79
"PAK_2019","PAK","2019","S3D6_batch1",90,93.87,131,130.94,77,92.15,36.52,33.03,2,1.9,2.75,2.45,26.67,0.94,-0.04
"PAK_2019","PAK","2019","S2F11_batch1",91,92.62,131,133.69,73,79.65,36.41,33.76,1.87,1.96,2.8,2.94,23.33,0.61,-0.01
"PAK_2019","PAK","2019","S1G3_batch1",92,86.12,137,129.44,96,82.65,33.32,27.48,2.43,2,2.25,2.43,8.33,-0.84,-0.21
"PAK_2019","PAK","2019","S3A6_batch1",93,84.62,131,129.69,88,76.65,36.32,30.23,2.03,2.02,3,2.7,23.33,0.61,-0.54
"PAK_2019","PAK","2019","S3B6_batch1",91,85.62,145,130.19,109,61.65,30.47,17.52,1.97,1.98,2.35,2.57,10,-0.68,-0.8
"PAK_2019","PAK","2019","S1E1_batch1",91,83.12,131,129.94,59,75.15,29.21,27.21,1.86,1.98,3.3,3.14,9.96,-0.68,-0.19
"PAK_2019","PAK","2019","S2E5_batch1",91,90.37,131,132.94,62,63.65,31.41,28.51,1.83,2.05,1.75,2.18,30,1.26,-0.1
"PAK_2019","PAK","2019","S1G5_batch1",93,89.37,130,131.44,110,79.15,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PAK_2019","PAK","2019","S4A8_batch1",91,88.62,131,127.19,108,77.15,33.46,30.77,1.93,1.93,3,3.04,13.33,-0.36,-0.02
"PAK_2019","PAK","2019","S4F4_batch1",91,91,136,136,102,102,29.72,29.72,2.1,2.1,2.05,2.05,6.67,-1,-1
"PAK_2019","PAK","2019","S1E8_batch1",91,84.12,171,148.44,56,86.15,17.72,30.08,1.56,1.88,2.3,2.3,6.67,-1,-0.41
"PAK_2019","PAK","2019","S3E4_batch1",92,101.37,164,163.54,134,144.65,60.72,47.83,1.87,1.92,1.01,1.89,13.33,-0.36,-1.02
"PAK_2019","PAK","2019","S3H9_batch1",92,92,131,127.08,80,87.94,29.61,39.85,1.83,1.95,2.65,3.21,10,-0.68,-0.03
"PAK_2019","PAK","2019","S4E11_batch1",91,86.62,142,148.94,90,82.15,29.71,25.58,1.86,1.98,1.9,2.57,21.67,0.45,0.16
"PAK_2019","PAK","2019","S4A1_batch1",91,94.37,159,151.44,101,95.4,37.52,36.78,1.83,1.65,2.6,1.95,40,2.23,-0.05
"PAK_2019","PAK","2019","S4G7_batch1",90,96.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PAK_2019","PAK","2019","S2A8_batch1",91,92.57,159,163.58,118,133.44,38.32,35.2,1.97,1.97,2.45,2.6,8.33,-0.84,-0.19
"PAK_2019","PAK","2019","S3G8_batch1",91,91,145,157.58,95,110.44,27.31,29.2,1.7,1.76,1.95,2,8.33,-0.84,-0.85
"PAK_2019","PAK","2019","S3D8_batch1",93,99.87,161,149.44,78,116.4,27.82,37.36,1.93,1.96,2.7,2.43,20.67,0.35,-0.64
"PAK_2019","PAK","2019","S2B5_batch1",91,93.62,138,156.44,122,96.65,29.85,27.37,1.87,1.97,1.85,2.33,6.67,-1,-0.66
"PAK_2019","PAK","2019","S2F2_batch1",93,97.87,159,141.69,96,97.15,36.75,31.84,2,2,3,2.84,21.67,0.45,-0.11
"PAK_2019","PAK","2019","S2B10_batch1",90,90.37,137,137.44,110,96.9,30.9,33.88,1.73,2.04,2.7,2.52,23.33,0.61,0.8
"PAK_2019","PAK","2019","S2G3_batch1",91,86.62,137,131.94,85,87.15,33.65,34.32,2,2.04,3.53,2.78,10,-0.68,0.18
