year,plot,column,row,accession,SampleName,DTF,DTH,PtHt,PcleLng,SdLen,TGW,SdWpPlot,SdW_z
2017,1,2,5,D-12244,S8G12_batch2,NA,NA,150,NA,NA,NA,144.17,0.370760131
2017,3,2,7,CHEN-320,S5C2_batch2,NA,NA,143,NA,NA,NA,NA,NA
2017,4,2,8,Regalona,S1C5_batch1,NA,NA,95,NA,NA,NA,50.58,-0.723893413
2017,5,2,9,CHEN-469,NA,NA,NA,97,NA,NA,NA,7.34,-1.229639959
2017,6,2,10,Regalona,S1C5_batch1,NA,NA,NA,NA,NA,NA,133.59,0.247013635
2017,7,2,11,D-12071,S5E2_batch2,NA,NA,148,NA,NA,NA,NA,NA
2017,8,2,12,D-9996,NA,NA,NA,170,NA,NA,NA,NA,NA
2017,9,2,13,D-9991,NA,NA,NA,175,NA,NA,NA,59.28,-0.622135898
2017,10,2,14,D-12336,NA,NA,NA,120,NA,NA,NA,NA,NA
2017,11,2,15,Ames-13738,S1F7_batch1,NA,NA,151,NA,NA,NA,NA,NA
2017,12,2,16,PI-510538,S533_batch3,NA,NA,126,NA,NA,NA,42.45,-0.818984056
2017,13,2,17,CHEN-5,S1D4_batch1,NA,NA,117,NA,NA,NA,424,3.643726271
2017,14,2,18,D-12201,S4E9_batch1,NA,NA,104,NA,NA,NA,NA,NA
2017,15,2,19,D-12047,S8D12_batch2,NA,NA,104,NA,NA,NA,104.67,-0.09124238
2017,16,2,20,PI-614882,S4D9_batch1,NA,NA,197,NA,NA,NA,177.13,0.756269061
2017,17,2,21,D-10113,S116_batch3,NA,NA,119,NA,NA,NA,38.45,-0.865769121
2017,18,2,22,Regalona,S1C5_batch1,NA,NA,NA,NA,NA,NA,111.47,-0.011707771
2017,19,2,23,D-12162,S4D11_batch1,NA,NA,165,NA,NA,NA,59.77,-0.616404728
2017,20,2,24,PI-614885,S1C9_batch1,NA,NA,143,NA,NA,NA,103.47,-0.105277899
2017,22,2,26,PI-614922,S2D2_batch2,NA,NA,102,NA,NA,NA,10.61,-1.191393169
2017,23,2,27,CHEN-274,NA,NA,NA,89,NA,NA,NA,38.28,-0.867757486
2017,24,2,28,D-12412,NA,NA,NA,109,NA,NA,NA,42.97,-0.812901998
2017,25,2,29,D-11976,NA,NA,NA,145,NA,NA,NA,120.41,0.092856848
2017,26,2,30,D-12221,S1C5_batch2,NA,NA,145,NA,NA,NA,75.68,-0.430317134
2017,28,2,32,D-12065,S6H4_batch2,NA,NA,191,NA,NA,NA,28.11,-0.986708512
2017,29,2,33,D-11970,NA,NA,NA,205,NA,NA,NA,NA,NA
2017,31,2,35,D-12083,S8G14_batch2,NA,NA,124,NA,NA,NA,190.61,0.913934728
2017,32,2,36,D-12341,NA,NA,NA,145,NA,NA,NA,77.72,-0.406456751
2017,33,2,37,PI-584524,S1B9_batch1,NA,NA,173,NA,NA,NA,199.08,1.013002102
2017,36,2,40,CHEN-139,NA,NA,NA,100,NA,NA,NA,NA,NA
2017,37,2,41,D-12204,S6F2_batch2,NA,NA,115,NA,NA,NA,16.62,-1.121098609
