"iteration","fold","trait","location","pearson","ndcg_at_10","seed","n_test_genotypes"
1,1,"PcleLng_mean","AUS",0.475378743386252,0.670820432322489,1001,103
1,1,"PcleLng_mean","PAK",0.196981009163062,0.596007329904506,1001,61
1,1,"SdW_mean","AUS",0.212808948020347,0.69135584776532,1001,108
1,1,"SdW_mean","PAK",0.00707883869794933,0.480607719386741,1001,57
1,1,"TGW_mean","AUS",0.468303109718142,0.757674906960386,1001,101
1,1,"TGW_mean","PAK",0.207722006577082,0.679890628295334,1001,57
1,1,"SdLen_mean","AUS",0.469011306578648,0.723852606589502,1001,101
1,1,"SdLen_mean","PAK",0.10728318017492,0.553534706441621,1001,57
1,1,"DTF_mean","AUS",0.420891180357312,0.854729577036176,1001,103
1,1,"DTF_mean","PAK",0.383231730015478,0.656701016723347,1001,62
1,1,"DTH_mean","AUS",0.335267105472678,0.669830801942499,1001,103
1,1,"DTH_mean","PAK",0.34118722281098,0.849747923092605,1001,58
1,1,"PcleLng_blue","AUS",0.486705514803092,0.689651286304667,1001,103
1,1,"PcleLng_blue","PAK",0.205703777789698,0.550697273679768,1001,61
1,1,"SdW_z_blue","AUS",0.21025011519993,0.682325838602396,1001,108
1,1,"SdW_z_blue","PAK",0.0625023240072938,0.534106244460856,1001,57
1,1,"TGW_blue","AUS",0.464209649742637,0.803556968037503,1001,101
1,1,"TGW_blue","PAK",0.202027991107578,0.640520638833918,1001,57
1,1,"SdLen_blue","AUS",0.471265450540871,0.770829029097297,1001,101
1,1,"SdLen_blue","PAK",0.0948262091186661,0.442245743746827,1001,57
1,1,"DTF_blue","AUS",0.3985489624516,0.878671004616686,1001,103
1,1,"DTF_blue","PAK",0.429188037596862,0.798792667911679,1001,62
1,1,"DTH_blue","AUS",0.344336917917882,0.666053128061412,1001,103
1,1,"DTH_blue","PAK",0.351807978906162,0.85864248438473,1001,58
1,2,"PcleLng_mean","AUS",0.401230164224099,0.673208588982566,1001,101
1,2,"PcleLng_mean","PAK",-0.0204897120744966,0.328375128528343,1001,52
1,2,"SdW_mean","AUS",0.412477039623696,0.693892718339892,1001,103
1,2,"SdW_mean","PAK",0.112399300075402,0.616270862071443,1001,51
1,2,"TGW_mean","AUS",0.514006134762363,0.884221423646376,1001,99
1,2,"TGW_mean","PAK",0.0745392841870643,0.67216877458408,1001,51
1,2,"SdLen_mean","AUS",0.520041209684103,0.884305360615133,1001,99
1,2,"SdLen_mean","PAK",0.193055659569356,0.694932437794998,1001,51
1,2,"DTF_mean","AUS",0.158010042364412,0.807648513335568,1001,101
1,2,"DTF_mean","PAK",0.287477402107415,0.872917729828142,1001,53
1,2,"DTH_mean","AUS",0.380696609039552,0.725229227787546,1001,100
1,2,"DTH_mean","PAK",0.386053332360704,0.934608039743826,1001,51
1,2,"PcleLng_blue","AUS",0.407249451552922,0.671109776026811,1001,101
1,2,"PcleLng_blue","PAK",-0.0110677986000543,0.300721076057993,1001,52
1,2,"SdW_z_blue","AUS",0.430770813090985,0.691367531256117,1001,103
1,2,"SdW_z_blue","PAK",0.169336080570472,0.616056409783709,1001,51
1,2,"TGW_blue","AUS",0.503223244178535,0.881982578155787,1001,99
1,2,"TGW_blue","PAK",0.088568380080824,0.667378316975182,1001,51
1,2,"SdLen_blue","AUS",0.518282231252853,0.875420892140114,1001,99
1,2,"SdLen_blue","PAK",0.177820900938266,0.737226554793282,1001,51
1,2,"DTF_blue","AUS",0.183212071313418,0.779757284791658,1001,101
1,2,"DTF_blue","PAK",0.25004893848487,0.858122664971137,1001,53
1,2,"DTH_blue","AUS",0.400159658828503,0.737317988191064,1001,100
1,2,"DTH_blue","PAK",0.367225597309552,0.913135489947071,1001,51
1,3,"PcleLng_mean","AUS",0.350279532910307,0.844048328710595,1001,105
1,3,"PcleLng_mean","PAK",0.159573997481396,0.607466680225438,1001,58
1,3,"SdW_mean","AUS",0.321426195896336,0.693548039169656,1001,109
1,3,"SdW_mean","PAK",-0.109043034752866,0.367994222543371,1001,57
1,3,"TGW_mean","AUS",0.487518669228148,0.848460539836155,1001,103
1,3,"TGW_mean","PAK",0.000907111411537163,0.659235259330294,1001,57
1,3,"SdLen_mean","AUS",0.416361375399784,0.711582307044119,1001,103
1,3,"SdLen_mean","PAK",0.108314433626963,0.669280642247115,1001,57
1,3,"DTF_mean","AUS",0.196029990534244,0.740586801417426,1001,105
1,3,"DTF_mean","PAK",0.339402063750832,0.833402923892595,1001,58
1,3,"DTH_mean","AUS",0.431198930781714,0.777088722331795,1001,103
1,3,"DTH_mean","PAK",0.47573655942791,0.901885966582309,1001,59
1,3,"PcleLng_blue","AUS",0.378182475742391,0.815261876042998,1001,105
1,3,"PcleLng_blue","PAK",0.177431922928457,0.705349338995416,1001,58
1,3,"SdW_z_blue","AUS",0.376084422778606,0.698991633708166,1001,109
1,3,"SdW_z_blue","PAK",-0.11002103871264,0.455470730304738,1001,57
1,3,"TGW_blue","AUS",0.495658237449803,0.849826281240108,1001,103
1,3,"TGW_blue","PAK",-0.00312050698575785,0.622964390435759,1001,57
1,3,"SdLen_blue","AUS",0.431703775011006,0.70618753781243,1001,103
1,3,"SdLen_blue","PAK",0.115686039119787,0.696472545638042,1001,57
1,3,"DTF_blue","AUS",0.211119532026742,0.87322048438324,1001,105
1,3,"DTF_blue","PAK",0.434726054683662,0.83075677801909,1001,58
1,3,"DTH_blue","AUS",0.439263285408547,0.781069316770321,1001,103
1,3,"DTH_blue","PAK",0.475325880824794,0.896998883379337,1001,59
1,4,"PcleLng_mean","AUS",0.319374552273123,0.606850026912694,1001,102
1,4,"PcleLng_mean","PAK",-0.165466848685292,0.489232378577798,1001,66
1,4,"SdW_mean","AUS",0.225716174422022,0.67170291590879,1001,106
1,4,"SdW_mean","PAK",-0.0833602738315146,0.50543993865421,1001,63
1,4,"TGW_mean","AUS",0.465218742233488,0.777407672644484,1001,100
1,4,"TGW_mean","PAK",0.0949168269993462,0.661535238422291,1001,63
1,4,"SdLen_mean","AUS",0.527707321129389,0.814234160158286,1001,100
1,4,"SdLen_mean","PAK",0.239952776265747,0.754732694056538,1001,63
1,4,"DTF_mean","AUS",0.181641694478311,0.750071526584792,1001,102
1,4,"DTF_mean","PAK",0.259826156421562,0.655669464423167,1001,65
1,4,"DTH_mean","AUS",0.397614337142915,0.777125943661113,1001,101
1,4,"DTH_mean","PAK",0.220959208912134,0.788213843911695,1001,63
1,4,"PcleLng_blue","AUS",0.322272997975744,0.631623114666589,1001,102
1,4,"PcleLng_blue","PAK",-0.0975724658936059,0.5017027400902,1001,66
1,4,"SdW_z_blue","AUS",0.235376120611234,0.651901605455393,1001,106
1,4,"SdW_z_blue","PAK",-0.125274208687242,0.481685665589404,1001,63
1,4,"TGW_blue","AUS",0.465577557509466,0.725559422265793,1001,100
1,4,"TGW_blue","PAK",0.10604883634181,0.664301446319877,1001,63
1,4,"SdLen_blue","AUS",0.528055428519109,0.761968044093693,1001,100
1,4,"SdLen_blue","PAK",0.287238887518142,0.757412556258185,1001,63
1,4,"DTF_blue","AUS",0.203805260308058,0.778453202073665,1001,102
1,4,"DTF_blue","PAK",0.285680010190741,0.626770109596832,1001,65
1,4,"DTH_blue","AUS",0.414128104408972,0.789506314329682,1001,101
1,4,"DTH_blue","PAK",0.231007289629367,0.787185638142655,1001,63
1,5,"PcleLng_mean","AUS",0.285424843002695,0.567016936575005,1001,106
1,5,"PcleLng_mean","PAK",0.160720702407471,0.530882864581433,1001,60
1,5,"SdW_mean","AUS",0.485769481616937,0.870808715825237,1001,109
